Place,Number,Wave,Age_Cat,Gender,TI_Number,Swim,T1,Cycle,T2,Run,Finish
14,207,2,30-39,M,10065376,702,188,2321,68,1154,4433
16,250,2,40-49,F,10015003,624,76,2378,48,1356,4482
20,216,2,20-29,F,10039374,728,92,2372,51,1292,4534
20,216,2,20-29,F,10039374,728,92,2372,51,1292,4534
24,185,2,40-49,M,10005690,727,117,2276,75,1441,4635
25,265,2,30-39,M,10003518,648,120,2498,63,1328,4656
36,192,2,50+,M,10045606,876,113,2378,74,1397,4837
38,208,2,30-39,M,10011647,756,134,2469,102,1401,4862
41,127,2,20-29,F,10044421,565,101,2779,66,1357,4868
42,269,2,30-39,M,10059429,645,157,2540,75,1476,4893
50,184,2,40-49,M,10027681,1044,162,2344,81,1375,5006
51,187,2,40-49,M,10032822,835,151,2438,80,1502,5007
53,189,2,50+,M,F10010534,675,136,2545,78,1578,5013
54,254,2,40-49,F,10036236,812,167,2304,66,1666,5014
58,203,2,50+,M,10013234,671,114,2559,88,1638,5069
65,246,2,40-49,F,10033020,939,176,2336,68,1602,5121
68,310,2,40-49,F,10003670,864,164,2632,61,1417,5137
69,196,3,50+,M,10002881,894,178,2433,70,1574,5149
71,212,3,20-29,F,10065304,690,104,2788,41,1539,5162
76,225,3,30-39,F,10064242,759,162,2781,56,1425,5183
78,256,3,40-49,F,10056518,1019,143,2492,113,1423,5189
79,199,3,50+,M,10019179,963,178,2504,50,1518,5213
81,232,3,30-39,F,10060625,856,131,2513,83,1633,5216
82,186,3,40-49,M,10031680,686,230,2510,189,1602,5217
86,229,3,30-39,F,10048437,729,129,2677,51,1658,5243
88,226,3,30-39,F,10065457,666,138,2782,67,1608,5261
93,234,3,30-39,F,10036923,837,115,2580,87,1711,5329
106,239,3,30-39,F,10065954,770,158,2667,96,1739,5430
107,176,3,40-49,M,10014865,820,184,2464,104,1871,5443
110,247,3,40-49,F,10067342,979,131,2416,27,1900,5452
112,202,3,50+,M,10017582,871,142,2567,113,1762,5454
115,260,3,50+,F,100075,828,220,2661,83,1696,5488
118,198,3,50+,M,10018678,972,183,2630,94,1645,5524
119,174,3,40-49,M,10065158,752,185,2686,74,1839,5536
120,394,3,20-29,F,10059248,915,126,2792,67,1636,5537
124,195,3,50+,M,10066077,814,278,2697,126,1675,5591
126,264,3,20-29,F,10063427,769,162,2635,94,1983,5643
127,257,3,50+,F,10020512,832,143,2756,93,1825,5649
134,135,3,50+,F,10013185,837,129,2887,83,1762,5698
140,263,3,30-39,F,10063048,822,166,2821,80,1882,5771
144,227,3,30-39,F,10066736,816,142,2988,84,1781,5810
146,230,3,30-39,F,10063135,887,166,2798,113,1863,5827
152,237,3,30-39,F,10063318,825,168,2955,92,1871,5910
155,175,3,40-49,F,10066388,1092,175,2836,97,1767,5967
158,241,3,30-39,F,10036921,947,122,2734,105,2131,6039
159,219,3,20-29,F,10062096,958,169,3102,102,1728,6058
161,244,3,40-49,F,10027268,957,234,3181,92,1716,6179
162,205,3,50+,M,10012733,776,284,2839,189,2120,6208
164,248,3,40-49,F,10056986,1064,140,3028,121,1881,6234
166,243,3,40-49,F,10045282,835,218,3120,128,1945,6245
167,228,3,30-39,F,10064866,1156,255,2893,136,1883,6323
168,214,3,20-29,F,10059264,953,164,3202,125,1903,6347
181,235,3,30-39,F,10048367,1243,156,2937,119,2412,6867
183,191,3,50+,M,,1040,234,3387,119,2212,6992
,236,3,30-39,F,10053165,977,136,2955,98,,
,200,3,50+,M,10067052,834,114,2231,104,,
,252,3,40-49,F,,949,146,2727,66,,
43,172,3,40-49,M,,729,148,2407,78,1560,4921
60,224,3,30-39,F,,659,135,2602,70,1609,5075
64,179,3,40-49,M,,844,186,2436,116,1538,5120
74,262,3,30-39,F,,861,160,2649,58,1449,5177
77,221,3,20-29,F,,694,147,2577,88,1680,5186
83,253,3,40-49,M,,727,188,2511,189,1604,5219
85,255,3,40-49,F,,912,151,2458,89,1626,5236
87,180,3,40-49,M,,817,143,2547,77,1663,5247
94,204,3,50+,M,,859,121,2467,78,1824,5349
98,183,3,40-49,M,,1019,139,2535,84,1599,5376
111,209,3,30-39,M,,758,181,2559,95,1860,5453
113,193,3,50+,M,,777,241,2507,168,1761,5454
114,173,3,40-49,M,,970,138,2533,89,1732,5462
122,258,3,50+,F,10047312,1063,205,4285,,,
139,188,3,50+,M,,1025,200,2846,139,1552,5762
141,197,3,50+,M,,886,238,2728,76,1879,5807
143,267,3,30-39,F,,778,186,2932,96,1818,5810
151,233,3,30-39,F,,1015,229,2891,101,1643,5879
163,218,3,20-29,F,,1031,267,3049,117,1762,6225
165,112,3,20-29,F,,853,194,3025,124,2046,6242
170,217,3,20-29,F,,845,266,2551,127,2620,6408
176,222,3,30-39,F,,983,300,2864,123,2286,6557
177,201,3,50+,M,,984,299,2864,123,2287,6557
179,170,3,40-49,M,,1270,208,3143,122,2067,6810
182,249,3,40-49,F,,1283,189,3394,118,2001,6985
184,261,3,50+,F,,1217,567,3443,118,2543,7888
142,178,3,40-49,M,,709,155,2544,137,2264,5809
